order_id,order_date_sk,customer_sk,product_sk,store_sk,quantity,unit_price,line_total
1000000000,331,356,2,,2,15000.0,30000.0
1000000000,331,356,1,,2,12000.0,24000.0
1000000001,31,601,1,,1,12000.0,12000.0
1000000001,31,601,2,,2,15000.0,30000.0
1000000001,31,601,1,,2,12600.0,25200.0
1000000002,423,1234,1,,1,12000.0,12000.0
1000000002,423,1234,2,,1,15000.0,15000.0
1000000003,426,156,1,,1,12000.0,12000.0
1000000003,426,156,2,,1,15000.0,15000.0
1000000004,90,616,2,,2,15750.0,31500.0
1000000004,90,616,2,,1,15000.0,15000.0
1000000005,72,614,1,2.0,2,12000.0,24000.0
1000000006,562,188,2,,1,15000.0,15000.0
1000000007,316,17,2,,1,15000.0,15000.0
1000000008,238,1148,1,,3,12000.0,36000.0
1000000008,238,1148,2,,3,15000.0,45000.0
1000000008,238,1148,1,,1,12600.0,12600.0
1000000009,90,1037,2,,1,13500.0,13500.0
1000000010,73,1336,2,1.0,1,15000.0,15000.0
1000000011,534,1239,2,,1,15000.0,15000.0
1000000011,534,1239,1,,2,10800.0,21600.0
1000000012,222,1426,1,,3,12000.0,36000.0
1000000013,448,862,2,1.0,3,15750.0,47250.0
1000000013,448,862,1,1.0,3,12000.0,36000.0
1000000013,448,862,1,1.0,2,12000.0,24000.0
1000000014,596,181,1,,1,12000.0,12000.0
1000000015,259,700,1,,2,12000.0,24000.0
1000000016,605,475,1,,2,12600.0,25200.0
1000000017,416,753,2,2.0,2,15750.0,31500.0
1000000017,416,753,1,2.0,3,12000.0,36000.0
1000000018,196,1151,2,,1,13500.0,13500.0
1000000018,196,1151,1,,2,13200.0,26400.0
1000000018,196,1151,2,,3,15000.0,45000.0
1000000019,477,793,1,,3,12600.0,37800.0
1000000020,127,866,2,,3,16500.0,49500.0
1000000021,632,1110,1,,2,12000.0,24000.0
1000000022,91,854,1,1.0,2,12000.0,24000.0
1000000023,552,379,2,,2,15000.0,30000.0
1000000023,552,379,1,,1,12000.0,12000.0
1000000024,427,441,1,2.0,1,12000.0,12000.0
1000000025,604,125,2,,3,15750.0,47250.0
1000000025,604,125,1,,2,12600.0,25200.0
1000000026,347,1201,2,,1,15000.0,15000.0
1000000027,337,1055,1,,2,12000.0,24000.0
1000000028,138,382,1,,1,12000.0,12000.0
1000000029,623,1456,2,,2,16500.0,33000.0
1000000029,623,1456,1,,3,12000.0,36000.0
1000000030,526,1377,1,,3,12000.0,36000.0
1000000031,496,1375,1,,2,12000.0,24000.0
1000000032,440,821,2,,2,15000.0,30000.0
1000000033,160,1475,2,,1,15000.0,15000.0
1000000034,322,634,2,2.0,3,15750.0,47250.0
1000000034,322,634,2,2.0,3,15000.0,45000.0
1000000035,12,585,1,1.0,2,12000.0,24000.0
1000000036,268,180,1,,2,12000.0,24000.0
1000000036,268,180,2,,2,15000.0,30000.0
1000000037,26,482,1,,2,12600.0,25200.0
1000000038,33,620,1,1.0,1,12000.0,12000.0
1000000039,144,603,1,1.0,3,10800.0,32400.0
1000000039,144,603,2,1.0,2,15000.0,30000.0
1000000040,64,1028,1,,1,12000.0,12000.0
1000000041,14,1005,2,,1,15000.0,15000.0
1000000041,14,1005,1,,1,10800.0,10800.0
1000000042,271,790,1,,1,10800.0,10800.0
1000000043,142,665,1,,3,13200.0,39600.0
